cpe,rows,Descrição,Estado,Comercializador,CPE,Morada do Local de Consumo,Data de Inicio do Contrato,Data de Fim do Contrato,Tipo de Instalação,Potência Contratada,Potência Certificada,Potência Máxima Admissível/Requisitada,Nome,NIF,Morada de Correspondência,Email,Telefone,Telemóvel,consumos,abastecimento
PT0002000065177066NZ,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065177066NZ,Calc Duque 9001 -- 1200-156 Lisboa,2018-04-09,-,Trifásica,693.00 kVA,763.56 kVA,763.56 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000065192228GL,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065192228GL,Av Rainha D Amelia 9003 -- 1600-677 Lisboa,2018-04-09,-,Trifásica,292.95 kVA,630.00 kVA,630.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000119387376BZ,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000119387376BZ,Av Liberdade 9901 1250 Lisboa,2018-04-09,-,Trifásica,292.95 kVA,630.00 kVA,500.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000065196426AP,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065196426AP,Rua Taipas 1 -- 1250-264 Lisboa,2018-04-09,-,Trifásica,292.95 kVA,630.00 kVA,630.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000074205965DX,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000074205965DX,Rua D Lourenco Almeida 21 -- A 1400 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,132.00 kVA,132.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000104372911VH,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000104372911VH,Urb Alto Lum Mlh 20.2 Lt 9004 JI Creche 1750 Lisboa,2018-04-16,-,Trifásica,47.00 kVA,104.00 kVA,104.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000065186579NM,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065186579NM,Rua Lumiar 14 --  16 1750-161 Lisboa,2018-04-16,-,Trifásica,53.00 kVA,132.00 kVA,132.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000072658922KQ,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000072658922KQ,Bair Furnas R Oliveiras 9006 -- Jardim 1500 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,66.00 kVA,66.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000075694026PV,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000075694026PV,Av Almirante Reis 47 -- 1150-010 Lisboa,2018-04-16,-,Trifásica,60.00 kVA,132.00 kVA,132.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000112530067QV,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000112530067QV,Az Reguengo 9000 C Dia 1750-245 Lisboa,2018-04-16,-,Trifásica,72.00 kVA,136.00 kVA,136.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000069444534JQ,row 1,CARVOEIRA MFR,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000069444534JQ,Estr S Juliao 9007 -- 2655 Carvoeira Mfr,2018-04-17,-,Trifásica,42.00 kVA,72.20 kVA,72.20 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000100048572MR,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000100048572MR,Av Almirante Reis 60 -- R-c 1150-020 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,55.20 kVA,55.20 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000109514287HC,row 1,PORTO,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000109514287HC,Rua Aleixo Da Mota 86 A 4150-044 Porto,2018-04-16,-,Trifásica,41.41 kVA,110.00 kVA,110.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000105847519FG,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000105847519FG,Rua Natalia Correia Lt 9005 CH Creche 1170-270 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,80.00 kVA,80.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000065177922AL,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065177922AL,Al Encarnacao 9001 -- 1800-187 Lisboa,2018-04-16,-,Trifásica,44.00 kVA,99.00 kVA,99.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000117665385FX,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000117665385FX,Larg Calhariz 17 Sc 1200-086 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,69.00 kVA,69.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000065194203KQ,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065194203KQ,Rua S Boaventura 111 -- 1200-408 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,165.00 kVA,165.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000075963139WF,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000075963139WF,Rua Adolfo Coelho 9 ** 1900-028 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,132.00 kVA,132.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000065195412MY,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065195412MY,Larg Santos O Novo 27 -- 1900-409 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,59.40 kVA,59.40 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000073868981PE,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000073868981PE,Rua Direita Paco Lumiar 3 -- 1600 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,99.00 kVA,99.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000107079575FL,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000107079575FL,Rua D Carlos Mascarenhas 9000 RI Lar 1070-083 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,95.00 kVA,95.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000070983831DS,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000070983831DS,Rua Rosa 199 -- 1200-381 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,66.00 kVA,66.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000072152412XN,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000072152412XN,Rua Jose Patrocinio 9010 -- 1950-164 Lisboa,2018-04-16,-,Trifásica,74.00 kVA,138.00 kVA,138.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000065174443JJ,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065174443JJ,Larg Convento Encarnacao 9001 -- 1150-113 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,198.00 kVA,198.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000066401343CR,row 1,CARCAVELOS,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000066401343CR,Rua Heliodoro Salgado 1 -- 2775-583 Carcavelos,2018-04-16,-,Trifásica,41.41 kVA,99.00 kVA,99.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000116955701VZ,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000116955701VZ,Prc Principe Real 35 1250-184 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,80.00 kVA,80.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000065189364HF,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065189364HF,Rua Nova Trindade 14 -- 1200 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,66.00 kVA,66.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000065197704NK,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065197704NK,Az Vale Fundao 15 -- D 1950-287 Lisboa,2018-04-16,-,Trifásica,43.00 kVA,132.00 kVA,132.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000065173781FH,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065173781FH,Rua Conde Arnoso 1 -- 1700-112 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,99.00 kVA,99.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000077053561PE,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000077053561PE,Rua Tenente Espanca 27 ** 1050-222 Lisboa,2018-04-16,-,Trifásica,42.00 kVA,138.00 kVA,138.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000078277993TA,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000078277993TA,Trav Conceicao Gloria 20 ** Piso 2 1250-085 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,69.00 kVA,69.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000109669896EB,row 1,BOBADELA LRS,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000109669896EB,Rua D Nuno Alvares Pereira 8 Frac 1 2695-445 Bobadela Lrs,2018-04-16,-,Trifásica,58.00 kVA,105.00 kVA,105.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000065167539ND,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065167539ND,Rua Barao Sabrosa 269 -- 1900-091 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,66.00 kVA,66.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000082660814WJ,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000082660814WJ,Rua Olival 67 -- Lar 1200-742 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,69.00 kVA,69.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000108595063AZ,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000108595063AZ,Rua Padre Luis Aparicio 12 Crech 1150-248 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,85.00 kVA,85.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000101572546RH,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000101572546RH,Prc Jose Queiros 1 3esc4 1800-237 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,80.00 kVA,80.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000074786233FB,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000074786233FB,Rua Acucar 64 ++ 1950-009 Lisboa,2018-04-16,-,Trifásica,103.00 kVA,195.60 kVA,195.60 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000065187152ZA,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065187152ZA,Rua Manuel Ferre Andrade 22 -- 1500-417 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,132.00 kVA,132.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000103555129CR,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000103555129CR,Rua S Bento 672 Creche 1250-223 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,80.00 kVA,80.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000114502281KG,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000114502281KG,Rua Cap Henrique Galvao 2 1900-109 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,49.50 kVA,49.50 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000069403189XW,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000069403189XW,Trav Fontainhas(s Louren) 2 --  Rc 1100-248 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,66.00 kVA,66.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000065194098VA,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065194098VA,Rua S Bento 9 -- Elevad 1200-815 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,99.00 kVA,99.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000116166533KE,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000116166533KE,Rua Ferreira Castro Lt 42 Rc 1900 Lisboa,2018-04-16,-,Trifásica,91.00 kVA,80.00 kVA,80.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000065191921ZB,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065191921ZB,Rua Prof Mario Chico 11 -- 1600-644 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,99.00 kVA,99.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000068140071SK,row 1,PAREDE,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000068140071SK,Rua Sampaio Bruno 10 -- 2775-279 Parede,2018-04-16,-,Trifásica,41.41 kVA,66.00 kVA,66.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000065195718HJ,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065195718HJ,Rua Saudade 31 -- Dispen 1100-582 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,66.00 kVA,66.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000116649279BK,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000116649279BK,Calc Tapada 92 Crec 1300-550 Lisboa,2018-04-16,-,Trifásica,54.00 kVA,150.00 kVA,150.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000040496025BC,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000040496025BC,Rua Pedro Azevedo Blc 9018 JD Inf 2 1950-233 Lisboa,2018-04-16,-,Trifásica,41.41 kVA,109.00 kVA,109.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000103699775FT,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000103699775FT,Av Ceuta Lt 9004 CS 1300 Lisboa,2018-04-24,-,Trifásica,56.00 kVA,180.00 kVA,180.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000065196288CP,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065196288CP,Rua St Antonio A Estrela 31 -- A 1350-291 Lisboa,2018-08-21,-,Trifásica,46.50 kVA,100.00 kVA,100.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000065182816DZ,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000065182816DZ,Av Infante Santo 9001 -- 1350 Lisboa,2018-09-14,-,Trifásica,292.95 kVA,630.00 kVA,630.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
PT0002000116989206WP,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000116989206WP,Rua Rio Guadiana Lt 22 C Dia 1600-716 Lisboa,2018-09-23,-,Trifásica,120.00 kVA,400.00 kVA,400.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,BTE
PT0002000125955894PP,row 1,LISBOA,Ativo,Iberdrola Generación - E.S.P.U. Lda,PT0002000125955894PP,Camp Amoreiras 94 MT 1750 Lisboa,2018-09-26,-,Trifásica,292.95 kVA,630.00 kVA,475.00 kVA,Santa Casa Misericordia Lisboa ,PT500745471,Larg Trindade Coelho 9999 1200-470 Lisboa ,inquilinos@scml.pt,924473797,964847679,True,MT
